incidentId,reportedAt,locationId,country,city,category,severity,status,reportedBy,description,affectedGuests,satisfactionIndex
BRS-000001,2024-01-14T00:00:00Z,COL-07,Colombia,Bogotá,Food,Medium,Resolved,MGR-01,Portion served below menu standard,,5.0
BRS-000002,2024-01-04T00:00:00Z,COL-01,Colombia,Medellín,Service,Low,Discarded,MGR-06,"Low charcoal stock for grills, urgent order placed",,
BRS-000003,2024-01-08T00:00:00Z,COL-04,Colombia,Medellín,Service,Low,Open,MGR-08,Sauce supplier did not deliver weekly order,,
BRS-000004,2024-01-06T00:00:00Z,COL-05,Colombia,Bogotá,Service,Low,Resolved,MGR-04,Complaint about excessive noise in dining area,,2.0
BRS-000005,2024-01-15T00:00:00Z,FLA-03,USA,Orlando,Equipment,High,Open,MGR-02,Industrial dishwasher water leak detected,,
BRS-000006,2024-01-18T00:00:00Z,FLA-04,USA,Orlando,Service,Low,Resolved,MGR-02,Customer dissatisfied with table wait time,,5.0
BRS-000007,2024-01-08T00:00:00Z,COL-03,Colombia,Medellín,Service,Low,Resolved,MGR-08,Claim for reservation not found on arrival,,4.0
BRS-000008,2024-01-29T00:00:00Z,COL-01,Colombia,Medellín,Food,Medium,Open,MGR-07,Customer reports cold food at serving time,,
BRS-000009,2024-01-13T00:00:00Z,COL-05,Colombia,Bogotá,Service,Low,Resolved,MGR-05,Complaint about excessive noise in dining area,,2.0
BRS-000010,2024-01-26T00:00:00Z,COL-09,Colombia,Cali,Service,Low,Resolved,MGR-08,Shortage of imported beverages on menu,,5.0
BRS-000011,2024-01-10T00:00:00Z,COL-04,Colombia,Medellín,Service,Low,Open,MGR-01,Shortage of beef for main menu cuts,,
BRS-000012,2024-01-02T00:00:00Z,COL-10,Colombia,Cali,Service,Low,Open,MGR-03,Complaint about excessive noise in dining area,,
BRS-000013,2024-01-17T00:00:00Z,COL-02,Colombia,Medellín,Service,Low,Open,MGR-03,Delay in cleaning supply delivery,,
BRS-000014,2024-01-03T00:00:00Z,FLA-01,USA,Miami,Food,Medium,Discarded,MGR-07,Customer reports cold food at serving time,,
BRS-000015,2024-01-29T00:00:00Z,COL-10,Colombia,Cali,Service,Low,Open,MGR-01,Sauce supplier did not deliver weekly order,,
BRS-000016,2024-01-22T00:00:00Z,COL-10,Colombia,Cali,Safety,Medium,Resolved,MGR-06,Employee did not follow uniform protocol,,2.0
BRS-000017,2024-01-22T00:00:00Z,FLA-02,USA,Miami,Service,Low,Open,MGR-04,Shortage of takeout packaging,,
BRS-000018,2024-01-05T00:00:00Z,FLA-01,USA,Miami,Equipment,High,Discarded,MGR-05,Venue music system off without response,,
BRS-000019,2024-01-30T00:00:00Z,COL-02,Colombia,Medellín,Service,Low,Open,MGR-08,Shortage of beef for main menu cuts,,
BRS-000020,2024-01-04T00:00:00Z,COL-02,Colombia,Medellín,Equipment,High,Open,MGR-04,Beverage refrigerator not cooling properly,,
BRS-000021,2024-01-30T00:00:00Z,COL-06,Colombia,Bogotá,Service,Low,Open,MGR-04,Shortage of beef for main menu cuts,,
BRS-000022,2024-01-15T00:00:00Z,FLA-04,USA,Orlando,Food,Medium,Resolved,MGR-05,Expired product found during inventory review,,3.0
BRS-000023,2024-01-21T00:00:00Z,COL-09,Colombia,Cali,Equipment,High,Discarded,MGR-05,Main kitchen grill failure,,
BRS-000024,2024-01-31T00:00:00Z,COL-03,Colombia,Medellín,Equipment,High,Resolved,MGR-02,POS terminal error processing card payments,,5.0
